Feature	Number of Connections
AKAP11.9	0
AC026412.4	0
MDC1.19	0
UBASH3A	0
ISG15	0
BDP1P	0
TFPI	0
MAST3.2	0
hsa-miR-185-3p	0
AC112196.1	0
TNFRSF21	0
AC068802.1	0
PRKCH.4	0
FOXO1	0
SNX2.4	0
WDR92	0
ZNF408	0
CNTD1	0
KIF21B.1	0
LINC01351	0
CALD1.22	0
CBX3P1	0
SULT1E1	0
MYOM2	0
LCT	0
CHD3.3	0
SUCO.1	0
MAS1L	0
hsa-miR-381-3p	0
AL358473.1	0
IGKV2-28	0
CFAP97.2	0
NKRF	0
TCF20	0
KIDINS220.5	0
SNORD13E	0
AL034348.1	0
MMP28	0
PHACTR4	0
AP002840.2	0
IGHM	0
AC097522.1	0
KMT5C	0
OR8G3P	0
hsa-miR-202-3p	0
AL513493.1	0
AL121894.1	0
DICER1.3	0
SUPT7L	0
AL390318.1	0
EIF4EP3	0
KRT18P26	0
OR2Q1P	0
RN7SL382P	0
C20orf203	0
REPIN1	0
KRT18P33	0
AC004408.1	0
AL357874.3	0
AC011751.1	0
SP3	0
ITPRID2.5	0
MARVELD2	0
RABEP1.1	0
ZNF653	0
NLRP12	0
TMEM132A	0
hsa-miR-4689	0
TUNAR	0
RPS26P19	0
DACH1.3	0
AP003973.1	0
KANK2.7	0
SH2D3A	0
HSPA8.3	0
AL135929.2	0
PRR15	0
hsa-miR-6732-3p	0
ADAP2	0
C9orf135-DT	0
CIZ1	0
MYH11.39	0
C1orf162	0
CASC3.7	0
BLVRA.1	0
TRBV6-1	0
EIF4B.19	0
TBC1D2B.4	0
hsa-miR-3529-5p	0
WIPF2.5	0
hsa-miR-4796-3p	0
EGFR.5	0
PLEKHA7.2	0
PRKCH.2	0
RALGDS	0
ZNF608.1	0
AP002383.2	0
AKAP13.35	0
NEBL.1	0
ERBB2	0
NFIA-AS1	0
OSBPL8	0
hsa-miR-3663-5p	0
OR6K3	0
TNS1.26	0
AC008040.1	0
AL132801.2	0
LRRK2-DT	0
PTPRC	0
RRP8.2	0
hsa-miR-378b	0
AC108488.3	0
INTS1.1	0
ARHGAP39	0
TCL1A	0
DPEP1	0
AC083873.1	0
CD24P4	0
AC099537.1	0
PRKG2	0
ARHGEF17.5	0
C9orf40.1	0
IGHV3-69-1	0
NDRG2.8	0
SAR1B	0
SLX1A-SULT1A3	0
SPECC1P1	0
RPS26P24	0
PGLYRP1	0
SYT14P1	0
AP000550.1	0
HYI	0
RHBDF1	0
SFSWAP	0
AC023830.1	0
PEX16	0
TMEM161A	0
NDOR1	0
APOBEC3F.1	0
AC012291.3	0
ATG9A	0
IFNA17	0
TRAV10	0
NIPBL-DT	0
hsa-miR-652-3p	0
SMG6	0
PLEKHO2.1	0
HEPH.1	0
hsa-miR-4490	0
GBP1	0
AC092803.1	0
FAM166C	0
AL683813.3	0
KIDINS220.6	0
AC002383.1	0
FASN	0
SYDE1	0
TCF20.2	0
LINC02565	0
AC138123.1	0
DIDO1	0
LNPK	0
LINC01162	0
TFAM	0
FARP2	0
hsa-let-7e-5p	0
AC011444.2	0
AC244107.1	0
LRRC8B	0
AC010186.3	0
RBM26.1	0
RN7SL826P	0
CAMK4	0
MRTFA.4	0
ITGA3	0
RPS6P7	0
BCL2L14.1	0
MAP4.11	0
hsa-miR-3913-5p	0
AL606534.5	0
ICAM3	0
AP001631.2	0
RPS4XP19	0
ITK	0
KMT2E-AS1	0
CAPN1	0
SEMG1	0
SETX.1	0
AC108751.3	0
RAP1GAP2.6	0
WIPF2.2	0
CST13P	0
ADD1.11	0
PRKAA1	0
DYRK3	0
AC138466.1	0
EPB41L1.1	0
TNFRSF25	0
AL022312.1	0
EBLN2	0
AC009879.4	0
CLC	0
PDZRN3-AS1	0
THEMIS2	0
NDRG2.4	0
AL591896.1	0
LINC01079	0
AC009955.2	0
TNS1.81	0
AL353796.2	0
AC097478.2	0
hsa-miR-616-5p	0
AC092757.3	0
SLC35F5	0
AL031775.1	0
SBF1P2	0
GPS1	0
MUS81	0
PAK3	0
MTA3	0
DSC2	0
BRD4	0
BTBD2	0
MAP1B.61	0
RN7SKP5	0
RN7SL546P	0
AC013474.2	0
PCF11.3	0
AC111188.1	0
XKR5	0
PMVK	0
AC092954.2	0
IGKV7-3	0
AL022345.3	0
MOSPD3	0
ZC3H13.30	0
AP001021.3	0
hsa-miR-150-3p	0
RFFL.1	0
LINC01132	0
PCBP1	0
ITGB4.2	0
SDAD1.1	0
RPS26P2	0
DNAJC2	0
TMPO.4	0
AF186190.1	0
SH3GL1	0
SCAF11.17	0
CHP2	0
TAFA4	0
NINJ1	0
AC104390.1	0
FKBP15.6	0
KCNA3	0
HTR5BP	0
KDELR3.1	0
THOC6.1	0
RAPGEF2	0
LINC01975	0
AC090629.1	0
CFH	0
TRAV38-2DV8	0
WDR62.2	0
ADAM32	0
PAICS.1	0
EIF3J-DT	0
WIPF2.3	0
EMD	0
BUB3	0
CEBPB.2	0
AKAP12.20	0
AP005131.5	0
DMRTC1	0
C19orf25	0
GSE1.1	0
KIAA1211L	0
LINC02045	0
CLASP1.3	0
C2CD5.13	0
PCK1.1	0
AC114341.2	0
FLI1	0
PPP4R1	0
MAGEB18	0
AC011518.1	0
DNAJB9	0
GLUL	0
KRT20.1	0
KDM7A-DT	0
AL132819.1	0
AC018742.1	0
SRP68P2	0
SYNPO.9	0
PI4KB	0
TBC1D4.1	0
YAP1	0
AC023161.1	0
KIAA0930.3	0
SEC63	0
ZNF317	0
AL035696.1	0
MARCKSL1.4	0
RANBP3	0
AC010336.5	0
SPINT2	0
AL590002.1	0
FAM122A.3	0
OPRM1	0
WIZ.3	0
ITPRIPL1	0
DCX	0
TRIM63	0
SH3GLB2	0
FNDC5	0
TBCC	0
AC064802.1	0
TRAV37	0
ELP3	0
SMC3	0
PPFIA3	0
STBD1.1	0
ABCB11	0
SMARCA5.1	0
XBP1	0
AP000529.1	0
MLPH.5	0
TPTE2	0
PANK2	0
CPNE3.2	0
KLK9	0
SIRT5	0
LINC02615	0
PAK4	0
DTNB	0
FAM114A1	0
AC093063.1	0
PREP	0
ENPP1	0
SMAGP.1	0
MAFK	0
hsa-miR-1237-5p	0
HOOK2	0
AC105272.1	0
CGREF1	0
AC006557.3	0
IRF2BP1.2	0
IREB2	0
LIG3.1	0
SYNJ2.2	0
SLC43A3	0
JDP2.1	0
CTTNBP2	0
GM2A	0
ARHGAP35.6	0
AL591686.2	0
hsa-miR-145-3p	0
AC007638.1	0
MRNIP	0
COL3A1.9	0
hsa-miR-668-3p	0
AC087441.1	0
MTND6P8	0
KANK2.22	0
PDZPH1P	0
ARHGEF12.7	0
KIAA1671.12	0
RGS3	0
LLCFC1	0
EEF2.3	0
PSMB2	0
SLC17A8	0
TOMM20.1	0
EPN2	0
BCRP9	0
TRBV6-2	0
IGHV3OR16-7	0
EPN1	0
KANSL1.4	0
MROH6	0
AL162713.1	0
ZNF865	0
AL359962.2	0
nan.6	0
VCL.14	0
SASH3	0
MTMR6.1	0
MSN	0
ALOXE3	0
SMARCAD1.14	0
AL845311.1	0
AC083973.1	0
STK19	0
INPP4A.1	0
AL355076.3	0
NKD2	0
AC015818.9	0
WIPF2.1	0
GAPDHP63	0
OR55B1P	0
CLEC17A	0
GLT1D1	0
WARS1	0
TRAV8-5	0
AC010163.2	0
PLS3-AS1	0
TTLL10	0
ERC2-IT1	0
AC068205.1	0
CIITA	0
CGA	0
PITPNM1.2	0
TSC22D3.1	0
TRA2A.6	0
PAG1.4	0
AC091564.1	0
AGAP2	0
UBE2L6	0
AC068580.4	0
AC006946.2	0
KIAA1671.7	0
ACIN1.14	0
LAG3	0
TMCO6	0
PTDSS2	0
ZNF638.11	0
IGLV3-24	0
IER2	0
VSIG10L2	0
TXLNA	0
OTUD7B.5	0
TMEM250	0
ARVCF.6	0
ARF4	0
LINC01570	0
SCART1	0
ACP2	0
PANCR	0
DSP.5	0
FAM162A	0
HNRNPA1P31	0
TPPP.1	0
AC004918.1	0
COQ8A	0
WDFY4	0
OR4K12P	0
TES	0
ANKFY1	0
ZBTB21.10	0
PLEC.56	0
MTCYBP29	0
FKBP5	0
GPR1-AS	0
DCBLD2	0
hsa-miR-132-3p	0
CYHR1	0
RPL12P24	0
MARS2	0
AC007317.2	0
HDGFL2	0
HEPH	0
hsa-miR-766-3p	0
TSHZ2.2	0
hsa-miR-3141	0
GBF1.3	0
NAXD	0
NLRC5	0
HNRNPH3	0
DIMT1P1	0
SIPA1L2.5	0
KLF16	0
S100A10	0
CYLD.1	0
LINC02539	0
AL031123.3	0
AP000282.1	0
CD48	0
ARHGEF5	0
USH1C	0
AC005400.1	0
THAP12	0
KRT18P16	0
HRH4	0
COMMD8	0
TRIM68	0
TEX37	0
MYLK.18	0
ADD3-AS1	0
CARMIL1.11	0
AC114876.1	0
AL023803.2	0
LINC01868	0
STAT3.4	0
AC027796.3	0
AC005578.1	0
MTCO2P7	0
DPY19L4P1	0
VIM.33	0
NECAP2	0
PDZK1IP1	0
MTDH.5	0
VPS8.1	0
AC005821.1	0
SLC10A1	0
SMTN	0
AC008738.2	0
HVCN1	0
PLEC.59	0
EN2	0
SRD5A1P1	0
XAB2.1	0
ENAH	0
TMEM59	0
AC136443.1	0
AC005281.1	0
LINC00840	0
EMILIN2	0
AC012123.2	0
SCIMP.1	0
SYMPK.3	0
PCIF1.1	0
PREX1	0
SNRNP70.1	0
RANBP2.1	0
MARCKSL1.1	0
NME7	0
NFE2L3	0
KIR3DL1	0
KCNJ6-AS1	0
PARD6G	0
BBOF1	0
MS4A2	0
RFX5.1	0
CYCSP19	0
AC021106.1	0
MAP7	0
AC092329.4	0
HNF4A.1	0
GPSM3	0
AL353660.1	0
hsa-miR-4671-5p	0
SLC29A2	0
LILRA4	0
CSNK1A1P3	0
ADGRL2.2	0
UNK	0
INF2.1	0
SMG7-AS1	0
AC135782.2	0
AC092435.2	0
hsa-miR-6768-3p	0
SLC26A3	0
SCAF11.16	0
AC026124.2	0
C9orf163	0
SNRNP70	0
CCDC154	0
EEF1A1P36	0
RABL6	0
SPN.3	0
SEMA4D	0
GOT1L1	0
AL162419.1	0
DENND4C.34	0
MAPK7	0
AL590763.2	0
FAM160B2	0
AC107074.1	0
SLC12A7.6	0
AC108136.1	0
KIAA0556.3	0
AC239860.2	0
hsa-miR-3912-5p	0
hsa-miR-642b-3p	0
JUN	0
DONSON	0
AL138756.1	0
AL132655.4	0
CD4	0
COTL1P1	0
AC093890.1	0
GAS2	0
MAGEA7P	0
hsa-miR-339-5p	0
ZDHHC5	0
AC092070.4	0
hsa-miR-92b-5p	0
CDC42EP1.12	0
MOCS1P1	0
DHX33-DT	0
CYS1.1	0
SLC31A2	0
hsa-miR-138-5p	0
UBQLN4	0
DES.18	0
LINC01345	0
NFIB.8	0
C1orf115	0
hsa-miR-6742-3p	0
RNU6-1042P	0
FILIP1L.12	0
HIVEP1	0
HSPA1L	0
TNS3.13	0
MLXIP.2	0
CPEB1-AS1	0
AKR7A2.1	0
RAB42	0
LIPG	0
ADD2.4	0
SGSH	0
AC104462.2	0
GRIK4	0
CLIC6.4	0
ARHGEF35-AS1	0
AC018889.1	0
AL031663.3	0
ALDH1A3	0
AC010768.1	0
AL035634.1	0
PCSEAT	0
SCAMP4.2	0
SEMA4C.2	0
ARID5B	0
ZNF263	0
AC118757.1	0
hsa-miR-4713-3p	0
AC078820.2	0
MAP1B.43	0
AL160000.1	0
ESRP2	0
RMC1.1	0
hsa-miR-545-3p	0
STMN1P1	0
AC006064.1	0
RGL2	0
AC008663.3	0
AL117187.1	0
AC093012.1	0
HLA-DRB1	0
GPATCH8.15	0
COBL.11	0
AC015967.1	0
C1orf146	0
TOP3BP1	0
LINC00639	0
FTH1	0
CELA2A	0
AL132780.3	0
AL121985.1	0
AL162586.1	0
PAN3-AS1	0
OSBP	0
SLC12A2.2	0
PDF	0
AC016772.1	0
CCDC141	0
GRB7.1	0
MS4A7	0
AC012309.1	0
ZNF671	0
GIMAP7	0
GPR155	0
TRAF2	0
MS4A3	0
SLC26A3.1	0
AC023794.6	0
AC004975.1	0
MLIP	0
BTK	0
SRRM1P2	0
FAAHP1	0
PPIAP38	0
LINC02029	0
EIF4G1.12	0
GAPT	0
BMP15	0
LMO7DN-IT1	0
AC004788.1	0
LINC02212	0
NCF4.1	0
AC004837.4	0
AL390816.2	0
AC055874.1	0
RNU6-851P	0
FYB1	0
PTGDR2.2	0
TMEM100	0
OFD1P6Y	0
G6PC	0
MRE11	0
FUCA2	0
RN7SL685P	0
AC095052.1	0
AC007569.1	0
AL589743.2	0
AC073593.1	0
LINC00243	0
TLL2	0
AC245052.3	0
HAVCR2	0
ARVCF.9	0
AC137499.1	0
AC016642.1	0
MYSM1	0
LONRF1	0
SUGP1.1	0
AC009102.4	0
AC092718.9	0
AC108667.2	0
PPFIBP1.12	0
APBA3.1	0
ERBB2.7	0
AL645933.4	0
PHLDA2	0
PSMB10	0
AC092447.5	0
NCOA7.8	0
CFL1P2	0
RYBP	0
MCC.1	0
GET1-SH3BGR	0
AC008055.2	0
RCSD1	0
ACY3.1	0
FKBP9	0
CLEC4M	0
WDR49	0
AP000879.2	0
WBP1LP4	0
PPP3R1	0
ZBTB14	0
SLCO4C1	0
RPL22P2	0
HNRNPM	0
TIMM29	0
HLA-DOB	0
AC109449.1	0
RNA5SP492	0
hsa-miR-4506	0
AL138709.1	0
RN7SL716P	0
DPPA4	0
AC024075.1	0
SIGLEC31P	0
UBE2CP2	0
CHRM3-AS2	0
AC073488.9	0
AC063926.2	0
UTP15	0
AL132711.1	0
hsa-let-7a-3p	0
ZNF506	0
NELFA	0
POF1B.3	0
ZNF516	0
KMT5B	0
FZD7	0
MISP.6	0
AL022724.1	0
TBC1D9B	0
ICE2.2	0
PAPSS1	0
AC107385.1	0
ODF1	0
MLLT6.4	0
VPS13D.6	0
BCAR1	0
AC091151.1	0
AC012443.1	0
TGS1.1	0
TRIM28.1	0
GNG2	0
SOX4	0
RBM42	0
AC092552.1	0
DRD1	0
PRY2	0
TRIM49C	0
FAM32BP	0
EGFLAM-AS1	0
SP100	0
EPHA2.1	0
FCRL4	0
CD180	0
hsa-miR-4665-5p	0
hsa-miR-519d-3p	0
WFDC1	0
RPS20P13	0
KRT20	0
AL031768.2	0
TAOK3.1	0
KHDRBS1.2	0
MAFG	0
SSX4B	0
C12orf4	0
AC011330.3	0
RPS20P24	0
hsa-miR-6844	0
PPP3CC	0
AC106707.1	0
CHAMP1.25	0
AL109917.1	0
TINAG	0
MAGEE2	0
ZDHHC5.20	0
EPS15L1.6	0
NBN	0
IRF2BP1	0
BOLA3	0
FGFBP3	0
SLC9A9	0
SIRPD	0
AL355076.2	0
MYB	0
PKP3.22	0
S100A2.1	0
AC008040.3	0
C16orf74	0
MYCBP2	0
AC009060.1	0
PRAMEF27	0
ANAPC10P1	0
PLCB2.1	0
AC083864.2	0
AC010468.1	0
TNRC18.13	0
PIAS3	0
ZBTB45	0
ARHGAP18.3	0
AL451062.1	0
hsa-miR-32-5p	0
SETX	0
AP000936.3	0
ASB6	0
ARL5C	0
AC012183.1	0
LINC01933	0
ASAP2.6	0
AKR1B1	0
CFHR4	0
SMARCC1	0
KRT1	0
OR2I1P	0
ARID4B.3	0
ARHGEF34P	0
RPL34P17	0
LACRT	0
MICB	0
UGT2B15	0
CRLF2	0
SEC16A.29	0
IGKV1D-43	0
GNAT3	0
SNURFL	0
TLR10	0
NOP10	0
C1orf159	0
KIF13B	0
AL121832.2	0
AC099332.2	0
SH3BGRL3	0
MYH11.27	0
TMEM256P2	0
SORL1	0
TLN1.49	0
NMNAT3	0
PPP1R26-AS1	0
NCBP1	0
MICAL1.7	0
AC016766.1	0
CCDC9	0
OAS2	0
C16orf78	0
BX255925.3	0
DVL3	0
NINJ2-AS1	0
YBX2P1	0
RFX1	0
AC073651.1	0
KIF1B.4	0
APPL2	0
AL589642.2	0
KHDC4	0
GLIPR2	0
hsa-miR-135a-3p	0
GCG	0
LINC01247	0
hsa-miR-6730-5p	0
AC141586.3	0
ATP6V1D	0
PPIG.3	0
HACL1.1	0
USP13	0
ERVE-1	0
MRTFA-AS1	0
IMMT	0
KIAA1671.25	0
MACF1.1	0
FAM71F2	0
AC097714.1	0
AL442067.3	0
FAM71E1	0
TRAPPC13	0
LINC01887	0
AL355881.2	0
BAZ1B.6	0
SIM2	0
CTNNB1	0
NSMF	0
hsa-miR-4687-3p	0
KCNE1B	0
DDB1	0
ADORA2BP1	0
hsa-miR-155-5p	0
FZR1	0
CEP350.4	0
hsa-miR-6871-3p	0
UBTFL3	0
TMEM259	0
RTF1.3	0
MISP3.1	0
TARBP2	0
ANK2.20	0
PDZD3	0
SCX	0
nan.3	0
AKIRIN2	0
CTNND1.21	0
GALNT2	0
CSF2RB	0
MACROH2A1.3	0
AC025614.3	0
AMOTL2	0
SSBP3	0
RCBTB1	0
IGKV1-32	0
AL450267.1	0
DNMT1	0
SUPT7L.1	0
PTPN18	0
ASMTL-AS1	0
DHX37	0
RTN3	0
ZC3HAV1.15	0
IFT27	0
hsa-miR-1288-3p	0
HNRNPA0	0
LIG1	0
hsa-miR-369-5p	0
CERS2.3	0
STARD3	0
hsa-miR-4764-3p	0
FAM86LP	0
RPL10P13	0
HBD	0
TAP2.1	0
EPC2	0
AHNAK2.34	0
hsa-miR-150-5p	0
AL138930.1	0
SNORD96A	0
ACP2.1	0
PAWR.1	0
UVRAG.1	0
CANT1	0
RPSAP8	0
ABI2	0
TP53INP1	0
RN7SKP137	0
ANAPC10	0
PLA2G12B	0
WBP1LP8	0
RGPD2	0
RAB44.7	0
DOHH	0
AURKB	0
SP110	0
NF1P1	0
PPP2R5D.2	0
RNU6-415P	0
TBC1D13	0
AC245187.2	0
SLC7A6OS	0
AC007391.3	0
STARD10	0
hsa-miR-541-3p	0
SIGLEC7	0
PPP1R14BP5	0
SLC26A3.2	0
WDR63	0
FP236383.9	0
UBE2O.19	0
CCR2	0
ZNF219	0
FCRL6	0
LAT	0
EIF2S2P2	0
ING1.1	0
hsa-miR-3190-3p	0
AL390755.2	0
PKP3.8	0
PAGR1.1	0
ENO1P2	0
AC068279.2	0
OR52B6	0
AC002075.1	0
RAB27A	0
AC083863.1	0
AC020905.1	0
AC079447.1	0
AL391361.1	0
RPS27P20	0
CFAP54	0
PPID	0
HSPA1L.1	0
EEFSEC	0
RNU1-134P	0
AL445307.1	0
PGAM1.1	0
SLC7A9	0
AC087311.2	0
ABRAXAS1	0
DTX3	0
SYNJ2	0
NEK9.7	0
RN7SL697P	0
DSN1.1	0
AC108734.1	0
ZNRF1	0
PRKD2.4	0
AC010809.2	0
survival_target.1	0
AC087894.3	0
AC016737.1	0
BCAR3-AS1	0
ADA2.1	0
AC233296.1	0
HPGDS	0
LMTK3	0
KCTD3.2	0
LMTK2	0
ZMPSTE24	0
ACACB	0
CLK2	0
AL359711.1	0
ANKRD19P	0
NDUFB2-AS1	0
CUX1.1	0
IGLJ1	0
AC073571.1	0
AC100827.2	0
AF235103.2	0
GYS1.4	0
AC015909.2	0
NES.11	0
HCLS1	0
BMX	0
AL136084.3	0
NARS1	0
RPL31P14	0
WDR83	0
MAP1B.59	0
AC137768.1	0
ADD3.5	0
TRPM2	0
AC005324.1	0
AC242988.2	0
GGA3	0
SMYD5	0
AC023245.2	0
SETD1A	0
PPT1	0
RNU6-450P	0
FTLP16	0
IGKV2-24	0
IFI30	0
SF3A3.2	0
AL109811.2	0
TOP1	0
CDCA7	0
CHAD	0
AKT1S1.8	0
LNPK.1	0
PSMA7	0
TOM1	0
C2CD4C	0
STARD13	0
ANKRD34A	0
AP005264.2	0
KANK1	0
ZNF598	0
GON4L.5	0
ARRB2	0
COBL	0
AL160279.1	0
AC008878.2	0
CHDH	0
Z97206.1	0
PARP1.2	0
LINC00921	0
BRAT1	0
AC009061.1	0
HDAC11	0
TAT	0
PMS2P7	0
LARP7.1	0
NCF4.2	0
OR13C2	0
NGEF.1	0
TRIM29.1	0
SNIP1.5	0
KRT18P64	0
LINC01526	0
AC113189.4	0
TBC1D9	0
SAFB2	0
PTK6.1	0
LINC02620	0
SYT16	0
TRIB2	0
FHL5	0
TXNIP	0
TSPAN16	0
AC109479.3	0
AP002358.1	0
AC019294.1	0
MCHR1	0
LINC01589	0
EPRS1.2	0
Z95114.4	0
AC104634.2	0
STIM2.4	0
AP001885.1	0
hsa-miR-4732-5p	0
AC002310.5	0
AC015959.1	0
GAS8	0
AL121906.2	0
VNN2	0
UBAP2L.8	0
hsa-miR-450a-2-3p	0
TNFSF13B	0
AC079174.2	0
ZDHHC5.9	0
AC093577.2	0
ZC3H4.14	0
LINC01544	0
PPP1R10.1	0
MED29	0
GRIN2A	0
MAU2	0
TAS2R62P	0
KIAA1671.30	0
BTLA	0
TGS1	0
AC003991.2	0
CCNK.3	0
PROSER2	0
PDE10A	0
FIGLA	0
AL031667.2	0
AP000873.5	0
PNO1	0
KHSRP	0
B3GALT5	0
U2AF2	0
PYGO2	0
LRFN4	0
FCRLA	0
CYP4Z2P	0
TRA2A.11	0
AC093675.1	0
LINC00992	0
TTTY4B	0
LRRC41.4	0
OR4E2	0
RNU2-42P	0
AC004936.1	0
RFLNA	0
AL031584.2	0
AL079307.3	0
NHLRC3	0
AC018695.4	0
LINC00501	0
CU633906.4	0
AC092810.1	0
ACP5	0
IGKV1-12	0
SGK1	0
YTHDC1	0
hsa-miR-7850-5p	0
AL589843.2	0
AP003128.1	0
DOCK6	0
ANKLE2	0
PKMP2	0
TRPT1.1	0
ELMO3	0
SMARCD2	0
GLRXP1	0
NPIPB12	0
AC121338.1	0
DGCR8.1	0
PPL	0
LINC02847	0
GDAP1L1	0
ATP8B4	0
ABCA6	0
AC034229.6	0
ANXA10	0
USP12PX	0
AC012360.3	0
IKZF1	0
SHISAL2A	0
BTBD7	0
P2RY13	0
MEX3D	0
AL627308.2	0
SACS	0
TRIM24.2	0
DIDO1.5	0
PPP3CA	0
RPL21P99	0
FOXI2	0
KCNK10	0
DCTN1	0
FASN.1	0
MTMR3.3	0
ASS1P5	0
AL590762.2	0
AC010487.1	0
TNK1	0
SRRM2.68	0
PCBP2P1	0
PPP2R2B	0
CAMSAP3.12	0
TRAV12-3	0
AL161733.1	0
ENO1.1	0
LGALS12	0
RPSAP53	0
MARCHF10	0
PAM	0
IGHV5-51	0
ARHGEF18	0
UPF3AP1	0
FDCSP	0
MSL3P1	0
AC127070.1	0
RBMS1P1	0
PAQR9-AS1	0
OTUD5.2	0
AC090587.2	0
SSB.1	0
NPEPPSP1	0
MIR3934	0
SHC1.1	0
RNF40.1	0
LMNB1.3	0
HLTF	0
BAIAP2L2.3	0
PGAM1	0
OR9I1	0
CTDP1	0
ETV7-AS1	0
AMPD1	0
TRAPPC6B	0
PLEKHG3.12	0
KIR2DL4	0
AC010522.1	0
ZNF202	0
TGFBRAP1	0
NDRG3.7	0
AC005776.2	0
AC020661.2	0
hsa-miR-505-3p	0
TUT1	0
IFITM10	0
TRARG1	0
ETV7	0
IRF4	0
Z94057.1	0
CORO1A.1	0
AC025265.3	0
AC025181.1	0
AC092809.2	0
GAPDHP62	0
AC069281.2	0
AP001056.1	0
AC009145.2	0
CYRIA	0
AC015911.2	0
CEP95	0
ANK3.11	0
CNTROB	0
RBM15.12	0
HNRNPM.7	0
LUZP1.5	0
AP002414.3	0
SRP68	0
PCNX3	0
TICAM1	0
NUAK2	0
GIMAP8.1	0
AL392023.1	0
hsa-miR-4784	0
AL391261.3	0
LINC01034	0
LINC00528	0
hsa-miR-29b-2-5p	0
TMEM63A	0
LINC00476	0
ZMYM5	0
AL359532.1	0
RPIA	0
SPATA4	0
POF1B.7	0
HMGN2P25	0
LAD1.13	0
